candidate_id,rank,score,reasoning
CAND_0046525,11,69.9780,"Strengths\n✓ Skills: NLP, LLM, Retrieval\n✓ 6.1y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0042506,12,69.6433,"Strengths\n✓ 8 core AI skills\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nSignals\n• 4.2y career\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0053591,13,69.3069,"Strengths\n✓ Skills: Embeddings, RAG, Milvus\n✓ 5.3y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0055905,14,69.2687,"Strengths\n✓ 5 strong skills: Python, LLM, Fine-tuning LLMs\n✓ 8.1y ML/AI\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0008295,15,69.1428,"Strengths\n✓ 5 strong skills: Python, LoRA, QLoRA\n✓ 6.5y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0068932,16,68.8758,"Strengths\n✓ Key skills: RAG, Milvus\n✓ 5.2y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0010685,17,68.4966,"Strengths\n✓ Key skills: Retrieval, RAG\n✓ 6.7y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0039754,18,68.0762,"Strengths\n✓ 6 strong skills: Python, NLP, LLM\n✓ 16+ years experience\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0058688,19,68.0406,"Strengths\n✓ 5 strong skills: LoRA, QLoRA, Embeddings\n✓ 6.7y professional\n✓ Production ML exp\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0002120,20,68.0399,"Strengths\n✓ 5 strong skills: Embeddings, Retrieval, RAG\n✓ 6.5y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0065195,21,67.9867,"Strengths\n✓ Skills: LLM, LoRA, QLoRA\n✓ 5.1y professional\n✓ Production ML exp\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0081053,22,67.7624,"Strengths\n✓ Skills: LoRA, QLoRA, Qdrant\n✓ 5.4y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0088025,23,67.7466,"Strengths\n✓ 7 strong skills: Python, NLP, LLM\n✓ 8.6y ML/AI\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0072660,24,67.6098,"Strengths\n✓ 6 strong skills: Python, NLP, LoRA\n✓ 7.1y ML/AI\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0054100,25,67.5083,"Strengths\n✓ 6 strong skills: LLM, Fine-tuning LLMs, LoRA\n✓ 6.0y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0043860,26,67.3050,"Strengths\n✓ Key skills: Retrieval, Qdrant\n✓ 6.1y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0003841,27,67.2777,"Strengths\n✓ Skills: LLM, Fine-tuning LLMs, Pinecone\n✓ 5.0y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0048166,28,67.0909,"Strengths\n✓ Skills: Milvus, Pinecone, Qdrant\n✓ 5.2y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0043228,29,67.0534,"Strengths\n✓ Key skills: NLP, Weaviate\n✓ 6.8y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0083852,30,67.0379,"Strengths\n✓ 5 strong skills: LoRA, QLoRA, Retrieval\n✓ 6.0y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0005509,31,67.0376,"Strengths\n✓ Skills: Python, LLM, Fine-tuning LLMs\n✓ 6.0y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0025640,32,66.9705,"Strengths\n✓ Skills: PEFT, Retrieval, FAISS\n✓ 5.6y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0097176,33,66.9315,"Strengths\n✓ Key skills: FAISS\n✓ 5.9y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0027691,34,66.8558,"Strengths\n✓ 6 strong skills: Python, LoRA, QLoRA\n✓ 6.5y professional\nWeaknesses\n• No GitHub profile\nSignals\n• Some production work\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0024147,35,66.8441,"Strengths\n✓ Skills: LoRA, QLoRA, Qdrant\n✓ 5.9y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0016659,36,66.7983,"Strengths\n✓ 5 strong skills: PEFT, Retrieval, Pinecone\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nSignals\n• 4.4y career\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0042029,37,66.6169,"Strengths\n✓ Skills: NLP, Embeddings, RAG\n✓ 6.5y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0037160,38,66.5517,"Strengths\n✓ Skills: LLM, Embeddings, Weaviate\n✓ 6.0y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0072688,39,66.5477,"Strengths\n✓ Skills: NLP, LoRA, Milvus\n✓ 6.9y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0033179,40,66.4725,"Strengths\n✓ Skills: LLM, Fine-tuning LLMs, Retrieval\n✓ 6.9y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0081852,41,66.4256,"Strengths\n✓ Skills: LoRA, Milvus, Weaviate\n✓ 5.9y professional\n✓ Production ML exp\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0098846,42,66.4071,"Strengths\n✓ Skills: LoRA, QLoRA, PEFT\n✓ 7.6y ML/AI\n✓ Production ML exp\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0091580,43,66.3511,"Strengths\n✓ 5 strong skills: NLP, LoRA, QLoRA\n✓ 5.5y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0083879,44,66.1665,"Strengths\n✓ Skills: LLM, Fine-tuning LLMs, Milvus\n✓ 7.1y ML/AI\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0023215,45,66.1292,"Strengths\n✓ Skills: LLM, LoRA, QLoRA\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nSignals\n• 4.4y career\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0080534,46,66.0749,"Strengths\n✓ Skills: LLM, Fine-tuning LLMs, PEFT\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nSignals\n• 3.8y career\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0052682,47,66.0342,"Strengths\n✓ 7 strong skills: Python, LLM, Fine-tuning LLMs\n✓ 6.6y professional\nWeaknesses\n• Limited production\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0045141,48,66.0058,"Strengths\n✓ 6 strong skills: LLM, LoRA, QLoRA\n✓ 5.3y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0005260,49,65.9962,"Strengths\n✓ 6 strong skills: Python, NLP, LoRA\n✓ 5.2y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0064326,50,65.9651,"Strengths\n✓ 6 strong skills: Python, LoRA, QLoRA\n✓ 7.6y ML/AI\nWeaknesses\n• Limited production\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0052431,51,65.9284,"Strengths\n✓ Key skills: Milvus\n✓ 5.3y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0024990,52,65.8590,"Strengths\n✓ Skills: NLP, LLM, Milvus\n✓ 5.2y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0010541,53,65.7746,"Strengths\n✓ 6 strong skills: Python, NLP, LoRA\n✓ 6.2y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0005311,54,65.7139,"Strengths\n✓ 6 strong skills: NLP, LLM, Fine-tuning LLMs\n✓ 5.7y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0098952,55,65.7136,"Strengths\n✓ Skills: Python, NLP, LoRA\n✓ 5.5y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0040178,56,65.6240,"Strengths\n✓ Skills: Python, LLM, Fine-tuning LLMs\n✓ 5.0y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0036121,57,65.6209,"Strengths\n✓ Skills: LoRA, QLoRA, Embeddings\n✓ 5.2y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0040887,58,65.6148,"Strengths\n✓ 5 strong skills: Python, LoRA, PEFT\nWeaknesses\n• Limited production\n• No GitHub profile\nSignals\n• 4.7y career\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0090155,59,65.5635,"Strengths\n✓ 6 strong skills: LoRA, QLoRA, PEFT\n✓ 5.8y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0058146,60,65.5090,"Strengths\n✓ Skills: LLM, Retrieval, Qdrant\n✓ 5.1y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0067535,61,65.4692,"Strengths\n✓ 6.8y professional\n✓ Deployed production systems\nWeaknesses\n• No AI skills detected\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0030031,62,65.4608,"Strengths\n✓ 7 strong skills: Python, NLP, LoRA\n✓ 5.7y professional\n✓ Production ML exp\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0037566,63,65.3656,"Strengths\n✓ 5 strong skills: NLP, LLM, LoRA\n✓ 6.9y professional\nWeaknesses\n• Limited production\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0044883,64,65.3630,"Strengths\n✓ 5 strong skills: LLM, Fine-tuning LLMs, LoRA\n✓ 6.3y professional\n✓ Production ML exp\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0080051,65,65.3620,"Strengths\n✓ Skills: NLP, LLM, PEFT\n✓ 5.2y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0035653,66,65.3127,"Strengths\n✓ 6 strong skills: Python, LLM, Fine-tuning LLMs\n✓ 5.6y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0064130,67,65.2294,"Strengths\n✓ Key skills: Python, LoRA\n✓ 6.7y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0033861,68,65.2101,"Strengths\n✓ 7 strong skills: LLM, LoRA, PEFT\n✓ 8.0y ML/AI\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0015493,69,65.1518,"Strengths\n✓ Key skills: NLP, LoRA\n✓ 6.4y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0010603,70,65.1290,"Strengths\n✓ Key skills: PEFT, Retrieval\n✓ 5.3y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Good Fit\nRisk: Medium"
CAND_0067643,71,64.8711,"Strengths\n✓ 5 strong skills: NLP, LLM, Fine-tuning LLMs\n✓ 6.0y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0049615,72,64.7855,"Strengths\n✓ 5 strong skills: NLP, LoRA, QLoRA\n✓ 5.1y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0094759,73,64.7611,"Strengths\n✓ 6 strong skills: NLP, LLM, Fine-tuning LLMs\n✓ 8.6y ML/AI\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0058426,74,64.6679,"Strengths\n✓ 5 strong skills: LLM, Fine-tuning LLMs, LoRA\n✓ 6.5y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0012888,75,64.6316,"Strengths\n✓ 6.4y professional\n✓ Deployed production systems\nWeaknesses\n• No AI skills detected\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0074735,76,64.6120,"Strengths\n✓ Skills: Retrieval, RAG, Weaviate\n✓ 5.5y professional\n✓ Production ML exp\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0004402,77,64.5904,"Strengths\n✓ Skills: LLM, Fine-tuning LLMs, PEFT\n✓ 6.0y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0027723,78,64.5686,"Strengths\n✓ Key skills: NLP, Pinecone\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nSignals\n• 4.2y career\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0088378,79,64.5292,"Strengths\n✓ Key skills: Retrieval\n✓ 6.0y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0032089,80,64.5289,"Strengths\n✓ Skills: Python, Milvus, Pinecone\n✓ 6.6y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0007596,81,64.4949,"Strengths\n✓ Skills: Python, LoRA, Weaviate\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nSignals\n• 4.4y career\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0043304,82,64.4842,"Strengths\n✓ Key skills: LoRA, Qdrant\n✓ 6.5y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0017178,83,64.4508,"Strengths\n✓ Skills: LoRA, QLoRA, PEFT\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nSignals\n• 4.2y career\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0039383,84,64.4507,"Strengths\n✓ Skills: NLP, LoRA, QLoRA\n✓ 7.1y ML/AI\n✓ Production ML exp\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0091890,85,64.4481,"Strengths\n✓ Skills: Milvus, Pinecone, Weaviate\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nSignals\n• 4.7y career\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0000273,86,64.4373,"Strengths\n✓ Skills: LLM, Fine-tuning LLMs, Qdrant\n✓ 5.8y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0049538,87,64.4279,"Strengths\n✓ 5 strong skills: LLM, LoRA, QLoRA\n✓ 5.8y professional\nWeaknesses\n• No GitHub profile\nSignals\n• Some production work\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0046132,88,64.3329,"Strengths\n✓ Skills: LLM, Fine-tuning LLMs, Retrieval\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nSignals\n• 4.3y career\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0048558,89,64.2846,"Strengths\n✓ Key skills: Retrieval, Qdrant\n✓ 6.7y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0007411,90,64.2449,"Strengths\n✓ Skills: LLM, Fine-tuning LLMs, Retrieval\n✓ 8.0y ML/AI\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0047521,91,64.2354,"Strengths\n✓ 6 strong skills: LLM, LoRA, Embeddings\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nSignals\n• 4.4y career\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0062561,92,64.2087,"Strengths\n✓ Key skills: Retrieval, Weaviate\n✓ 5.9y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0052706,93,64.2032,"Strengths\n✓ 5 strong skills: LoRA, PEFT, Retrieval\n✓ 5.1y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0057563,94,64.1642,"Strengths\n✓ Skills: LoRA, QLoRA, RAG\n✓ 6.8y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0064256,95,64.0367,"Strengths\n✓ Key skills: Python, Embeddings\n✓ 6.4y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0013393,96,64.0096,"Strengths\n✓ Skills: Embeddings, Milvus, Pinecone\n✓ 5.3y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0037944,97,63.9990,"Strengths\n✓ 7 strong skills: Python, NLP, LLM\nWeaknesses\n• Limited production\n• No GitHub profile\nSignals\n• 4.9y career\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0022812,98,63.9094,"Strengths\n✓ 6 strong skills: NLP, LLM, LoRA\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nSignals\n• 4.5y career\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0044890,99,63.8977,"Strengths\n✓ Skills: LLM, LoRA, Retrieval\n✓ 5.0y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
CAND_0008425,100,63.8898,"Strengths\n✓ 5 strong skills: Python, NLP, LoRA\n✓ 7.8y ML/AI\n✓ Production ML exp\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Consider\nRisk: Medium"
